序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
127,当前链上参数,Oracle 与价格源,DATA_STREAM_MULTIPLIER,FX100Keys.DATA_STREAM_MULTIPLIER,token=market#2 indexToken / WNT (Base WETH),已设置,1000000000000000000000000,,uint,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Data Stream 原始价格转为协议价格精度的乘数。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
128,当前链上参数,Oracle 与价格源,DATA_STREAM_SPREAD_REDUCTION_FACTOR,FX100Keys.DATA_STREAM_SPREAD_REDUCTION_FACTOR,token=market#1 collateralToken / market#2 collateralToken / MockUSDC,已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Data Stream bid/ask spread 缩减比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
129,当前链上参数,Oracle 与价格源,DATA_STREAM_SPREAD_REDUCTION_FACTOR,FX100Keys.DATA_STREAM_SPREAD_REDUCTION_FACTOR,token=market#1 indexToken,已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Data Stream bid/ask spread 缩减比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
130,当前链上参数,Oracle 与价格源,DATA_STREAM_SPREAD_REDUCTION_FACTOR,FX100Keys.DATA_STREAM_SPREAD_REDUCTION_FACTOR,token=market#2 indexToken / WNT (Base WETH),已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Data Stream bid/ask spread 缩减比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
131,当前链上参数,Oracle 与价格源,IS_ORACLE_PROVIDER_ENABLED,FX100Keys.IS_ORACLE_PROVIDER_ENABLED,provider=ChainlinkDataStreamProvider,已设置,true,,bool,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle Provider 全局启用标记。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
132,当前链上参数,Oracle 与价格源,IS_ORACLE_PROVIDER_ENABLED,FX100Keys.IS_ORACLE_PROVIDER_ENABLED,provider=ChainlinkPriceFeedProvider,已设置,true,,bool,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle Provider 全局启用标记。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
133,当前链上参数,Oracle 与价格源,MAX_ORACLE_PRICE_AGE,FX100Keys.MAX_ORACLE_PRICE_AGE,global 或按 Key builder,已设置,60,60 seconds,uint,秒,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Oracle 主价格允许的最大年龄。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
134,当前链上参数,Oracle 与价格源,MAX_ORACLE_REF_PRICE_DEVIATION_FACTOR,FX100Keys.MAX_ORACLE_REF_PRICE_DEVIATION_FACTOR,global 或按 Key builder,已设置,20000000000000000000000000000,0.02 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,提交价相对参考价的最大偏差。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
135,当前链上参数,Oracle 与价格源,MAX_ORACLE_TIMESTAMP_RANGE,FX100Keys.MAX_ORACLE_TIMESTAMP_RANGE,token/provider,已设置,60,60 seconds,uint,秒,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,同次 Oracle 报价时间戳最大跨度。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
136,当前链上参数,Oracle 与价格源,MAX_RECORDED_PRICE_AGE,FX100Keys.MAX_RECORDED_PRICE_AGE,global 或按 Key builder,已设置,86400,86400 seconds,uint,秒,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,ADL secondary recorded price 允许的最大年龄。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
137,当前链上参数,Oracle 与价格源,ORACLE_PROVIDER_FOR_TOKEN,FX100Keys.ORACLE_PROVIDER_FOR_TOKEN,"oracle=Oracle, token=market#1 collateralToken / market#2 collateralToken / MockUSDC",已设置,0x8a25a62ff0af9122dbd579dec181426ef8cb17b8,,address,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle 或 FeeHandler 对某 Token 使用的 Provider。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
138,当前链上参数,Oracle 与价格源,ORACLE_PROVIDER_FOR_TOKEN,FX100Keys.ORACLE_PROVIDER_FOR_TOKEN,"oracle=Oracle, token=market#1 indexToken",已设置,0x8a25a62ff0af9122dbd579dec181426ef8cb17b8,,address,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle 或 FeeHandler 对某 Token 使用的 Provider。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
139,当前链上参数,Oracle 与价格源,ORACLE_PROVIDER_FOR_TOKEN,FX100Keys.ORACLE_PROVIDER_FOR_TOKEN,"oracle=Oracle, token=market#2 indexToken / WNT (Base WETH)",已设置,0x8a25a62ff0af9122dbd579dec181426ef8cb17b8,,address,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle 或 FeeHandler 对某 Token 使用的 Provider。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
140,当前链上参数,Oracle 与价格源,ORACLE_PROVIDER_FOR_TOKEN,FX100Keys.ORACLE_PROVIDER_FOR_TOKEN,token=market#1 collateralToken / market#2 collateralToken / MockUSDC,已设置,0x8a25a62ff0af9122dbd579dec181426ef8cb17b8,,address,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Oracle 或 FeeHandler 对某 Token 使用的 Provider。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
141,当前链上参数,Oracle 与价格源,ORACLE_PROVIDER_UPDATED_AT,FX100Keys.ORACLE_PROVIDER_UPDATED_AT,"token=market#1 collateralToken / market#2 collateralToken / MockUSDC, provider=ChainlinkDataStreamProvider",已设置,1785329732,,uint,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,合约允许配置项：oracle provider updated at；当前版本未提供更具体的脚本说明。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
142,当前链上参数,Relay 与子账户,MAX_RELAY_SWAP_WNT_CAP,FX100Keys.MAX_RELAY_SWAP_WNT_CAP,global 或按 Key builder,已设置,50000000000000,,uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Relay 原生币费用上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
143,当前链上参数,Relay 与子账户,RELAY_FEE_BASE_GAS_LIMIT,FX100Keys.RELAY_FEE_BASE_GAS_LIMIT,global 或按 Key builder,已设置,30000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Relay 费用计算附加基础 Gas。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
144,允许配置但当前未设置,多链,EID_TO_SRC_CHAIN_ID,FX100Keys.EID_TO_SRC_CHAIN_ID,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：eid to src chain id；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
145,允许配置但当前未设置,多链,IS_MULTICHAIN_ENDPOINT_ENABLED,FX100Keys.IS_MULTICHAIN_ENDPOINT_ENABLED,global 或按 Key builder,当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：is multichain endpoint enabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
146,允许配置但当前未设置,多链,IS_MULTICHAIN_PROVIDER_ENABLED,FX100Keys.IS_MULTICHAIN_PROVIDER_ENABLED,global 或按 Key builder,当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：is multichain provider enabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
147,允许配置但当前未设置,多链,IS_SRC_CHAIN_ID_ENABLED,FX100Keys.IS_SRC_CHAIN_ID_ENABLED,global 或按 Key builder,当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：is src chain id enabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
148,允许配置但当前未设置,多链,MULTICHAIN_AUTHORIZED_ORIGINATORS,Keys2.MULTICHAIN_AUTHORIZED_ORIGINATORS,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：multichain authorized originators；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
149,允许配置但当前未设置,多链,MULTICHAIN_CONFIRMATIONS,Keys2.MULTICHAIN_CONFIRMATIONS,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：multichain confirmations；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
150,允许配置但当前未设置,多链,MULTICHAIN_PEERS,Keys2.MULTICHAIN_PEERS,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：multichain peers；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
151,允许配置但当前未设置,多链,MULTICHAIN_READ_CHANNEL,Keys2.MULTICHAIN_READ_CHANNEL,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：multichain read channel；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
152,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_ADDRESS_INFO,Keys2.FEE_DISTRIBUTOR_ADDRESS_INFO,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor address info；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
153,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_ADDRESS_INFO_FOR_CHAIN,Keys2.FEE_DISTRIBUTOR_ADDRESS_INFO_FOR_CHAIN,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor address info for chain；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
154,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_BRIDGE_SLIPPAGE_FACTOR,Keys2.FEE_DISTRIBUTOR_BRIDGE_SLIPPAGE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor bridge slippage factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
155,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_CHAIN_ID,Keys2.FEE_DISTRIBUTOR_CHAIN_ID,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor chain id；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
156,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_DISTRIBUTION_DAY,Keys2.FEE_DISTRIBUTOR_DISTRIBUTION_DAY,global 或按 Key builder,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor distribution day；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
157,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_KEEPER_COSTS,Keys2.FEE_DISTRIBUTOR_KEEPER_COSTS,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor keeper costs；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
158,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_LAYERZERO_CHAIN_ID,Keys2.FEE_DISTRIBUTOR_LAYERZERO_CHAIN_ID,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor layerzero chain id；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
159,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_MAX_READ_RESPONSE_DELAY,Keys2.FEE_DISTRIBUTOR_MAX_READ_RESPONSE_DELAY,global 或按 Key builder,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor max read response delay；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
160,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_ESGMX_AMOUNT,Keys2.FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_ESGMX_AMOUNT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor max referral rewards esgmx amount；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
161,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_WNT_USD_AMOUNT,Keys2.FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_WNT_USD_AMOUNT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor max referral rewards wnt usd amount；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
162,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_WNT_USD_FACTOR,Keys2.FEE_DISTRIBUTOR_MAX_REFERRAL_REWARDS_WNT_USD_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor max referral rewards wnt usd factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
163,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_MAX_WNT_AMOUNT_FROM_TREASURY,Keys2.FEE_DISTRIBUTOR_MAX_WNT_AMOUNT_FROM_TREASURY,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor max wnt amount from treasury；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
164,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_V1_FEES_WNT_FACTOR,Keys2.FEE_DISTRIBUTOR_V1_FEES_WNT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor v1 fees wnt factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
165,允许配置但当前未设置,费用与分配,FEE_DISTRIBUTOR_V2_FEES_WNT_FACTOR,Keys2.FEE_DISTRIBUTOR_V2_FEES_WNT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor v2 fees wnt factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
166,允许配置但当前未设置,费用与分配,MAX_UI_FEE_FACTOR,FX100Keys.MAX_UI_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max ui fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
167,允许配置但当前未设置,费用与分配,MIN_AFFILIATE_REWARD_FACTOR,FX100Keys.MIN_AFFILIATE_REWARD_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min affiliate reward factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
168,允许配置但当前未设置,费用与分配,SWAP_FEE_RECEIVER_FACTOR,FX100Keys.SWAP_FEE_RECEIVER_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：swap fee receiver factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
169,允许配置但当前未设置,功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,FX100Keys.CANCEL_DEPOSIT_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：cancel deposit feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
170,允许配置但当前未设置,功能开关,CANCEL_ORDER_FEATURE_DISABLED,FX100Keys.CANCEL_ORDER_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：cancel order feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
171,允许配置但当前未设置,功能开关,CANCEL_WITHDRAWAL_FEATURE_DISABLED,FX100Keys.CANCEL_WITHDRAWAL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：cancel withdrawal feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
172,允许配置但当前未设置,功能开关,CLAIM_AFFILIATE_REWARDS_FEATURE_DISABLED,FX100Keys.CLAIM_AFFILIATE_REWARDS_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：claim affiliate rewards feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
173,允许配置但当前未设置,功能开关,CLAIM_COLLATERAL_FEATURE_DISABLED,FX100Keys.CLAIM_COLLATERAL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：claim collateral feature disabled；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
174,允许配置但当前未设置,功能开关,CLAIM_UI_FEES_FEATURE_DISABLED,FX100Keys.CLAIM_UI_FEES_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：claim ui fees feature disabled；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
175,允许配置但当前未设置,功能开关,CREATE_DEPOSIT_FEATURE_DISABLED,FX100Keys.CREATE_DEPOSIT_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：create deposit feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
176,允许配置但当前未设置,功能开关,CREATE_ORDER_FEATURE_DISABLED,FX100Keys.CREATE_ORDER_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：create order feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
177,允许配置但当前未设置,功能开关,CREATE_WITHDRAWAL_FEATURE_DISABLED,FX100Keys.CREATE_WITHDRAWAL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：create withdrawal feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
178,允许配置但当前未设置,功能开关,EXECUTE_ADL_FEATURE_DISABLED,FX100Keys.EXECUTE_ADL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：execute adl feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
179,允许配置但当前未设置,功能开关,EXECUTE_ATOMIC_WITHDRAWAL_FEATURE_DISABLED,FX100Keys.EXECUTE_ATOMIC_WITHDRAWAL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：execute atomic withdrawal feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
